0,"2013116670","Tue Jun 02 21:57:24 PDT 2009","NO_QUERY","Seb_Bass_Tien","Too much things and worries are keeping me awake. Can't deal with all of that at the same time. "
1,"2063653222","Sun Jun 07 03:32:25 PDT 2009","NO_QUERY","Luvelii","Last week of school!!! Can't wait until Friday!!! "
0,"2227701106","Thu Jun 18 13:31:31 PDT 2009","NO_QUERY","katiegrrl85","I have been having the best conversation all day...I wish it didn't have to end "
1,"2190679929","Tue Jun 16 03:25:23 PDT 2009","NO_QUERY","buxa","@Zeavy exacto  tks Take !!! #takecinema http://www.take.com.pt"
0,"2064550304","Sun Jun 07 06:34:21 PDT 2009","NO_QUERY","Teamup2befit","@theMMAdigest so sad about Lawler losing last night  What the heck happened to Scott Smith - he didn't fight like he usually does"
0,"2239539801","Fri Jun 19 08:40:05 PDT 2009","NO_QUERY","flowerargentina","somebody take me away from this life. i don't want it anymore  so sad"
0,"1984255488","Sun May 31 14:44:53 PDT 2009","NO_QUERY","hfaznP","trying to recover from the 4 mile hike she just went on  my feet hurt!"
1,"2190481603","Tue Jun 16 02:51:20 PDT 2009","NO_QUERY","whitsundays","@Eli_Lama  Well, it is summer I guess. Such a modest lttle home you have lol "
1,"1795225213","Thu May 14 07:23:23 PDT 2009","NO_QUERY","TraceyMarkow","@TimeOutMom Well you did a wonderful job   Looking forward to those new pics!"
1,"1832837580","Sun May 17 21:37:11 PDT 2009","NO_QUERY","richiey68","Hello Kellie Pickler I Am From Catawba County MAIDEN North CArolina Few Miles North Of Abermarle  Twitt Me Back "
0,"2262639731","Sat Jun 20 22:55:17 PDT 2009","NO_QUERY","skyvan","@nelmur @mrboxofhair either of you at the store tomorrow? I have a 5:15 genius bar appointment for my borked mbp...TSP's totall booked up "
0,"2058261226","Sat Jun 06 14:35:15 PDT 2009","NO_QUERY","brajit","@FlyAArmy Not that non-revving would be easy since it is summer, I'm on crutches, and I can't pull my mobile home with me.  "
1,"2055166472","Sat Jun 06 08:49:26 PDT 2009","NO_QUERY","skinner143","Drinking my coffee while listening to the ocean "
1,"2068022183","Sun Jun 07 13:21:49 PDT 2009","NO_QUERY","hoppets","Wishing all a good new start for the upcoming week. "
0,"2237644647","Fri Jun 19 06:08:18 PDT 2009","NO_QUERY","farnhizzle","separation anxiety is setting in. wife left baby with childcare while working out. 5 secs away, but still a scary proposition  #paranoid"
0,"1975903640","Sat May 30 16:09:12 PDT 2009","NO_QUERY","copencasen","my doggy ran away... hoping she will find her way home!   "
0,"2231631925","Thu Jun 18 18:49:05 PDT 2009","NO_QUERY","beccaboo007","Ow.  make the pain stop. "
0,"1834142612","Mon May 18 01:47:37 PDT 2009","NO_QUERY","txtmstrjoe","Sleep is proving a touch elusive for me.  Not fun.  "
0,"2198083134","Tue Jun 16 15:34:55 PDT 2009","NO_QUERY","mariahriah","is being attacted by ants "
1,"2051896613","Fri Jun 05 23:05:13 PDT 2009","NO_QUERY","tweeteradder8","@xxkatewxx Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip "
0,"2240965267","Fri Jun 19 10:22:41 PDT 2009","NO_QUERY","rushme2112","@DingDong2112 Havent worked out in 2 days. Feel like a snail. "
0,"2265327996","Sun Jun 21 06:20:02 PDT 2009","NO_QUERY","christinah182","@katieftsk its worse when they're ipod earphones cos theyz pricey. my slidekick is slowly breaking with 9 months left "
0,"2175746925","Mon Jun 15 01:52:49 PDT 2009","NO_QUERY","breatheNataliuh","i need twitter friends  britt is making fun of me."
1,"1694275735","Mon May 04 01:52:54 PDT 2009","NO_QUERY","miagoodall","@coconutfriend i should have shouldnt i, im happy you enjoyed it cos im thoughtful like that you see, and YAYA i hav 20 followers  woop"
1,"1979704847","Sun May 31 04:10:10 PDT 2009","NO_QUERY","gloryboxblues","Some happy music  ? http://blip.fm/~7db12"
1,"1969428930","Sat May 30 00:00:38 PDT 2009","NO_QUERY","JasseLeroy","Had an awesome time @ Becca'sss &lt;3 Totes c my future as an audiobook reader! Haha, gr8 JB fanfics, but I made them SPECTACULAR!!! lolzzz "
